Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,transmycoC13,nmlogC13
6020,b,NA,0.03720814712046905,0.010676163871104594,Sp,NA,0.0022991239380654727,-3.1018594520865195e-4,Y,Low,N,Sp/Sp,Sp,42.7,0.5,90.1,-119.95432963747066,Self,16.1836195537056,0.01921,0.00283,NA,0.03295,7.909446618222471,SUIPU/SUIPU,1,FC11,Sp,372.0814712046905,106.76163871104593,22.991239380654726,-3.1018594520865195,5.919112838909021,4.670598673903777
6021,a,0.003089840360507967,0.005014018060299774,0.0025180702741527394,Tt,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,Y,Low,N,Tt/Tt,Tt,45.6,0.6,77.7,-14.934571030321676,Self,"NA",NA,0.01844,NA,0.040319999999999995,31.381892443839355,THETE/THETE,1,FC13,Tt,50.140180602997745,25.180702741527394,-0.6932084551769524,-3.35732311970649,3.9148226946980866,3.226077936945084
6022,a,NA,0.018711999630377507,0.026317907926934447,Tt,NA,4.016290571162706e-5,-3.6305659057433992e-6,Y,High,N,Tt/Tt,Tt,26.5,1.4,18.9,-5154.017339494079,Self,465.902536154411,NA,0.0427,NA,0.0451,48.63325740318907,THETE/THETE,1,FC07,Tt,187.11999630377508,263.17907926934447,0.4016290571162706,-0.03630565905743399,5.231750102522691,5.5728347102332565
6023,a,0.02202049367673209,0.028526919277042095,0.026229985035095993,Tt,0.00749908917032216,0.009812443091747558,0.003120207168362532,Y,High,N,Tt/Tt,Tt,46.4,2.5,18.3,9.14263628591459,Self,2.90721882515005,NA,0.0198,NA,0.0394,33.44594594594595,THETE/THETE,1,FC14,Tt,285.26919277042094,262.2998503509599,98.12443091747558,31.20207168362532,5.653433270511743,5.569488316346397
6024,b,0.12167707452960985,0.03097759748923634,0.022097432765042058,Tt,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,Y,High,N,Tt/Tt,Tt,48.6,1.7,27.8,4233.181249846659,Self,5.8664095454384,NA,0.0189,NA,0.0393,32.47422680412371,THETE/THETE,1,FC14,Tt,309.7759748923634,220.97432765042058,52.80503730484332,0.0731780560786488,5.7358493745958645,5.398046530292403
6025,a,0.01962433072348735,0.018668031441723798,0.03831791573269672,Tt,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,Y,High,N,Tt/Sp,Tt,10.5,0.8,13.5,7.544804870507786,Other,4.89986587307453,NA,0.01655,NA,0.042460000000000005,28.04609388239281,THETE/SUIPU,1,FC07,Sp,186.68031441723798,383.1791573269672,38.09906623017445,24.742894961665705,5.229397605337953,5.948502653508289
6026,a,NA,0.018063464883455005,0.014578819015147904,Tt,NA,0.004437561319404981,-1.0946494792402062e-4,Y,High,N,Tt/Tt,Tt,46.4,1.9,24.6,-165.01597293037418,Self,4.0705837245483,NA,0.02705,NA,0.09192,22.736824409515002,THETE/THETE,1,FC15,Tt,180.63464883455003,145.78819015147903,44.37561319404981,-1.0946494792402062,5.196476476593163,4.982154815961063
6028,b,NA,0.011049952629107906,0.0060915248743094175,Tt,NA,7.116579829188896e-4,-8.466623983431898e-4,Y,High,N,MIXED/THETE,Tt,45.1,1.6,28.9,-13.051190947810193,0,15.5270549819257,0.0105,0.0629,NA,0.0385,62.03155818540434,MIXED/THETE,1,FC09,Mixed,110.49952629107906,60.915248743094175,7.116579829188896,-8.466623983431898,4.705011233990058,4.109483533243723
6029,b,NA,0.008884137351575339,0.010401317393731846,Tt,NA,1.8249142258303097e-4,-4.707633253426269e-4,Y,Low,N,Tt/Tt,Tt,46.4,0.8,55.2,-18.87177032133793,Self,48.6824927211753,NA,0.00153,NA,0.03923,3.7536800785083417,THETE/THETE,1,FC08,Tt,88.84137351575339,104.01317393731846,1.8249142258303097,-4.707633253426269,4.486852459462245,4.6445175635933085
6031,a,NA,0.006597285283492793,0.005948591647396917,Tt,NA,-6.49588744216334e-4,-7.992186696161863e-4,Y,Low,N,Tt/None,Tt,45,0.6,75.7,-8.254668633630704,None,"NA",NA,0.00805,NA,0.017980000000000003,30.925854782942753,THETE/NM,1,FC04,None,65.97285283492793,59.48591647396917,-6.4958874421633395,-7.992186696161863,4.18924333672796,4.085739586617726
6032,b,0.004508241460242202,0.005574764331746751,0.007850669224038764,Tt,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,Y,Low,N,Tt/Tt,Tt,15.1,0.7,21.6,-6.5003417723557355,Self,"NA",NA,0.02386,NA,0.04517,34.564682022309135,THETE/THETE,1,FC04,Tt,55.74764331746751,78.50669224038765,-7.444759618465691,-8.57610957542998,4.0208351371143065,4.363183872624569
6033,b,0.018448189912061874,0.02005301060536402,0.006311421339885381,Sp,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,Y,Low,N,Sp/Sp,Sp,32.2,1.8,17.9,-21.464265928397083,Self,13.3369086839106,NA,0.00314,NA,0.05809,5.128205128205128,SUIPU/SUIPU,1,FC01,Sp,200.5301060536402,63.11421339885381,15.035726104622448,-9.34250939317427,5.300964390355507,4.144945996144571
6034,a,NA,0.01450186822817523,0.02051466170688876,Tt,NA,4.963426125029202e-4,-3.7952611404140635e-4,Y,High,N,MIXED/THETE,Tt,35.7,3.6,9.9,-38.21046218335604,0,29.217455569745,NA,0.02442,NA,0.040190000000000003,37.79600681009132,MIXED/THETE,1,FC05,Mixed,145.0186822817523,205.1466170688876,4.963426125029202,-3.7952611404140635,4.976862577443416,5.3237249287151265
6035,b,0.00681717950039773,0.005574764331746751,0.00857629803998261,Tt,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,Y,Low,N,Tt/Tt,Tt,47.1,1.3,36.6,-18.40542709082465,Self,"NA",NA,0.00437,NA,0.02195,16.60334346504559,THETE/THETE,1,FC13,Tt,55.74764331746751,85.7629803998261,-0.9121762463820682,-3.028869856829264,4.0208351371143065,4.451587449515107
6036,b,NA,0.004387294115665963,0.005233919316637747,Sp,NA,5.1111267600434385e-5,-1.9340272112816637e-4,Y,Low,N,Sp/Sp,Sp,42.7,0.6,72.6,-22.68475898412277,Self,85.8381003179948,1.6e-4,0,NA,0.04259,0,SUIPU/SUIPU,1,FC11,Sp,43.87294115665963,52.33919316637747,0.5111126760043438,-1.9340272112816637,3.781297755480669,3.95774548174393
6038,b,NA,0.04125154051905788,0.01773369819095838,Tt,NA,0.004200367160267726,-1.3866067908407942e-4,Y,High,N,Tt/Tt,Tt,48.1,1.8,26.6,-297.49991700274495,Self,9.82093682411053,NA,0.0325,NA,0.036699999999999997,46.96531791907515,THETE/THETE,1,FC14,Tt,412.5154051905788,177.3369819095838,42.00367160267726,-1.3866067908407942,6.022273550993949,5.178051775139983
6041,b,NA,0.12292754376658754,0.014007181738600716,Tt,NA,0.044999390699924036,0.0029632900859812294,Y,High,N,Tt/Sp,Tt,36.9,1.2,31.1,41.48346607985993,Other,2.73176018285054,NA,0.0018,NA,0.0352,4.864864864864864,THETE/SUIPU,1,FC07,Sp,1229.2754376658754,140.07181738600715,449.9939069992404,29.632900859812295,7.114180199725183,4.942155272407985
6043,b,NA,0.06071673002756617,0.012611039844925731,Sp,NA,-2.0800060916620344e-4,-7.371769386890215e-4,Y,High,N,Sp/Sp,Sp,28.1,1.9,14.6,-82.363848949946,Self,"NA",0.00316,0.00207,NA,0.04733,4.190283400809716,SUIPU/SUIPU,1,FC02,Sp,607.1673002756617,126.1103984492573,-2.0800060916620344,-7.3717693868902145,6.408804371330326,4.837157701500159
6044,b,NA,0.007894647031101654,0.00875220645266328,Tt,NA,-1.861037787133646e-4,-1.2771227789387662e-4,Y,Low,N,Tt/Tt,Tt,47.6,1,48.2,-61.81588145864694,Self,"NA",NA,0.0018600000000000001,NA,0.02524,6.863468634686347,THETE/THETE,1,FC13,Tt,78.94647031101654,87.5220645266328,-1.8610377871336459,-1.2771227789387662,4.368770031798696,4.471890927593723
6045,b,NA,0.00647634304745992,0.004882076837188887,Tt,NA,-2.3719639807545656e-4,-0.001321102170759536,Y,Low,N,Tt/Tt,Tt,46.4,0.6,83.4,-4.9022272393485675,Self,"NA",NA,0.03315,NA,0.032869999999999996,50.21205695243866,THETE/THETE,1,FC03,Tt,64.7634304745992,48.82076837188887,-2.3719639807545656,-13.21102170759536,4.170741099528128,3.888155803716192
6048,b,NA,0.031658930390853435,0.010016529759296011,Tt,NA,0.0048754552613339275,-1.4231014668225628e-4,Y,High,N,Tt/None,Tt,40.4,2.7,15.1,-222.46432267082176,None,6.49353315616141,NA,0.00354,NA,0.0211,14.366883116883116,THETE/NM,1,FC02,None,316.58930390853436,100.16529759296012,48.75455261333927,-1.4231014668225628,5.757605362632795,4.606821797256608
6049,a,0.014282008177049388,0.05637837019392866,0.02185562379867756,Tt,0.0018320127718325363,0.004565280783437431,2.9214541416577866e-5,Y,High,N,Tt/None,Tt,37.1,2.8,13.3,1929.8050717283077,None,12.349376274613,0.02036,0.0172,NA,0.08981,16.073264180917672,THETE/NM,1,FC02,None,563.7837019392866,218.55623798677559,45.65280783437431,0.29214541416577866,6.334670670740519,5.387043363509063
6050,b,NA,0.02149290813204563,0.009884601881156252,Sp,NA,2.0438808139339182e-4,-9.926433855231842e-4,Y,High,N,Sp/Sp,Sp,22.5,1.8,12.8,-21.65219498311324,Self,105.157345700005,0.02985,0.02736,NA,0.03931,41.037948102594875,SUIPU/SUIPU,1,FC05,Sp,214.9290813204563,98.84601881156252,2.043880813933918,-9.926433855231842,5.3703081193903,4.593563273758145
6052,a,NA,0.008950102669053717,0.011599636847000827,Tt,NA,9.233230331580633e-4,-0.0010729331108141893,Y,High,N,MIXED/THETE,Tt,32.1,1.4,23.5,-8.34171541435792,0,9.69336012169162,NA,0.01834,NA,0.038060000000000004,32.51773049645389,MIXED/THETE,1,FC12,Mixed,89.50102669053717,115.99636847000826,9.233230331580632,-10.729331108141892,4.494250096617663,4.75355888432328
6053,a,NA,0.0031887998967550235,0.003452691025413346,Tt,NA,-2.8463959154723106e-4,-6.641867659340495e-4,Y,Low,N,Tt/Sp,Tt,43.7,0.5,84.1,-4.801059069990045,Other,"NA",NA,0.01596,NA,0.046400000000000004,25.593329057087878,THETE/SUIPU,1,FC08,Sp,31.887998967550235,34.526910254133455,-2.8463959154723106,-6.641867659340495,3.4622297310930623,3.5417390273558516
6055,a,0.001605423556345853,0.0054758095693441255,0.009290922074382202,Tt,-3.1748490580379984e-4,-7.116303660598677e-4,-0.001390443746722314,Y,High,N,Tt/Tt,Tt,47,2.3,20.4,-3.9381741133017596,Self,"NA",0.00445,0.01212,NA,0.0451,21.1814051031108,THETE/THETE,1,FC09,Tt,54.758095693441255,92.90922074382202,-7.116303660598677,-13.90443746722314,4.002925224312302,4.5316228954027
6056,b,NA,0.004475255850144633,0.004134403257624486,Sp,NA,0.0011276884351851257,-5.10907751252343e-4,Y,Low,N,MIXED/SUIPU,Sp,46.9,0.7,66.7,-8.759420539568707,0,3.96852154417098,NA,0.01282,NA,0.02185,36.97721372944909,MIXED/SUIPU,1,FC10,Mixed,44.75255850144633,41.34403257624486,11.276884351851258,-5.10907751252343,3.801148616303216,3.721928096091445
6057,a,NA,0.015128464011401555,0.005761678342767418,Sp,NA,3.2846896618499155e-4,0.012248256365999355,Y,Low,N,MIXED/SUIPU,MIXED,38.3,1.2,33.1,1.2351524624678445,Mixed,46.0575140084354,0.00511,0.01374,NA,0.02152,38.96766874645491,MIXED/THETE,1,FC01,Tt,151.28464011401553,57.61678342767418,3.2846896618499155,122.48256365999355,5.019163096235814,4.0538139042119194
6057,a,NA,0.00975267365108734,0.005761678342767418,Tt,NA,3.9415872124748397e-4,0.012248256365999355,Y,Low,N,MIXED/SUIPU,MIXED,42.6,1,44.3,0.7962499607830182,Mixed,24.743011191585,0.00511,0.01374,NA,0.02152,38.96766874645491,MIXED/THETE,1,FC01,Tt,97.5267365108734,57.61678342767418,3.9415872124748397,122.48256365999355,4.580126561036541,4.0538139042119194
6063,a,NA,0.0728840722502695,0.006982099521478657,Sp,NA,6.569168752761922e-4,-0.001076582646856672,Y,High,N,Sp/None,Sp,34.7,1.7,19.9,-67.699467814265,None,110.948698371657,0.0031,0.0122,NA,0.06801,15.210073556913104,SUIPU/NM,1,FC02,None,728.8407225026949,69.82099521478658,6.5691687527619225,-10.765826468566718,6.59145522048613,4.245934755582558
6064,a,NA,0.011643611320497849,0.006795190122702577,Sp,NA,-3.28433348701862e-4,-0.001175120221067083,Y,High,N,Tt/Sp,Sp,36.8,1.8,20.7,-9.90844265272256,Other,"NA",0.0124,0.00185,NA,0.04229,4.191209787041233,THETE/SUIPU,1,FC05,Tt,116.43611320497848,67.95190122702577,-3.2843334870186203,-11.75120221067083,4.7573427380813555,4.218800120000071
6065,b,NA,0.01165460493276238,0.027109206918453532,Tt,NA,1.313991812624815e-4,-0.0010254891665923416,Y,High,N,Tt/Tt,Tt,35,1.8,18.9,-11.364922529108869,Self,88.6961761921581,NA,0.01168,NA,0.12567,8.503822351656352,THETE/THETE,1,FC12,Tt,116.5460493276238,271.0920691845353,1.3139918126248151,-10.254891665923417,4.758286468104372,5.6024585018699025
6066,b,0.0250540013276197,0.046008696835931895,0.018711999630377507,Tt,0.001996232040467727,0.002003530662064268,-6.167432109921434e-4,Y,High,N,Tt/Tt,Tt,41.6,1.3,33,-74.5994378469421,Self,22.9638096921005,NA,0.00971,NA,0.03839,20.187110187110186,THETE/THETE,1,FC12,Tt,460.086968359319,187.11999630377508,20.03530662064268,-6.1674321099214335,6.131415533263932,5.231750102522691
6067,b,NA,0.00696011021710885,0.0026170309544140125,Sp,NA,-1.605574886830441e-4,0.029406100319721462,Y,Low,N,MIXED/THETE,MIXED,31.8,0.8,37.8,0.2366893311739466,Mixed,"NA",0.00488,0.02558,NA,0.01476,63.41100644521567,MIXED/THETE,1,FC03,Tt,69.6011021710885,26.170309544140125,-1.605574886830441,294.06100319721463,4.24278040300649,3.2646255446776853
6067,b,NA,0.004431275002460433,0.0026170309544140125,Tt,NA,3.6683487040778395e-6,0.029406100319721462,Y,Low,N,MIXED/THETE,MIXED,46.2,0.9,49.4,0.1506923717963568,Mixed,1207.97540253861,0.00488,0.02558,NA,0.01476,63.41100644521567,MIXED/THETE,1,FC03,Tt,44.31275002460433,26.170309544140125,0.036683487040778395,294.06100319721463,3.7912724465806162,3.2646255446776853
6068,b,0.001990276635336574,0.008125529876608306,0.0021222255730573014,Tt,0.0014086894940240624,0.004211314607858063,-0.0010510359001740799,Y,High,N,Tt/None,Tt,17.3,2.1,8.1,-7.730972724397425,None,1.92945211489224,0.0053,0.01874,NA,0.036449999999999996,33.95542670773691,THETE/NM,1,FC05,None,81.25529876608306,21.222255730573014,42.113146078580634,-10.510359001740799,4.3975960346659635,3.055050429636688
6069,a,0.0027599738096735216,0.005816652917456588,0.006069535173978791,Tt,2.5912968631119915e-4,6.824627329953259e-4,3.978081495444874e-4,Y,Low,N,Tt/None,Tt,40.5,0.9,43.2,14.621754039269888,None,8.52303376614767,NA,0.00352,NA,0.02879,10.89445991952956,THETE/NM,1,FC11,None,58.16652917456588,60.69535173978791,6.824627329953259,3.978081495444874,4.063310089210534,4.105867117535016
6070,a,NA,0.03135123282365626,0.029406100319721462,Tt,NA,0.00275163370347431,-2.6274272740728355e-4,Y,High,N,Tt/Tt,Tt,40.5,2.6,15.6,-119.3229328667887,Self,11.3936796107967,NA,0.0118,NA,0.0298,28.365384615384613,THETE/THETE,1,FC14,Tt,313.5123282365626,294.06100319721463,27.5163370347431,-2.6274272740728355,5.747838683818328,5.683787239682883
6071,a,0.003331741099555696,0.0032327818493091964,0.004475255850144633,Tt,-0.0010619845042910137,-6.641867659340495e-4,-1.0929481584875944e-5,Y,Low,N,Tt/Sp,Tt,42.2,0.9,45.1,-295.7854701711262,Other,"NA",NA,0.02043,NA,0.01718,54.32065939909598,THETE/SUIPU,1,FC11,Sp,32.32781849309197,44.75255850144633,-6.641867659340495,-0.10929481584875944,3.4759281132185884,3.801148616303216
6075,a,NA,0.0032767637627519886,0.005453819595256926,Tt,NA,1.4616718613580382e-5,1.5329586253060024e-4,Y,Low,N,Tt/Tt,Tt,43.9,0.7,59.7,21.375422067232215,Self,224.179164241935,NA,0.0065,NA,0.017300000000000003,27.310924369747898,THETE/THETE,1,FC10,Tt,32.76763762751989,54.538195952569254,0.14616718613580382,1.5329586253060024,3.489441370625422,3.9989012993597215
6077,b,NA,0.023471324901410018,0.010104481482540173,Sp,NA,5.802792235178877e-4,-8.904566495800958e-4,Y,Low,N,Sp/Sp,Sp,34.6,1.1,30.6,-26.35875077408672,Self,40.4483289253703,0.00817,0.00748,NA,0.025800000000000003,22.475961538461533,SUIPU/SUIPU,1,FC03,Sp,234.71324901410017,101.04481482540173,5.802792235178877,-8.904566495800958,5.458364552112006,4.615564129573172
6078,a,NA,0.007300943336191468,0.00793862479905938,Tt,NA,8.395633882973819e-5,-0.0018320423635135863,Y,Low,N,Tt/Sp,Tt,48.3,1.2,39.8,-3.9851389256028655,Other,86.9611924240484,NA,0.01268,NA,0.021589999999999998,37.000291800408526,THETE/SUIPU,1,FC04,Sp,73.00943336191467,79.3862479905938,0.8395633882973819,-18.320423635135864,4.290588656935489,4.3743251541414825
6080,a,NA,0.005036008229930999,0.006322416137499953,Tt,NA,-2.9193854839937305e-4,-0.0012371624974163442,Y,Low,N,Tt/Tt,Tt,38.8,0.9,43.1,-4.070611775290683,Self,"NA",NA,0.01527,NA,0.034100000000000005,30.929714401458376,THETE/THETE,1,FC06,Tt,50.360082299309994,63.22416137499953,-2.9193854839937305,-12.371624974163442,3.919198843394628,4.1466865283320296
6085,b,NA,0.008158513052264782,0.004167389095047991,Sp,NA,3.3576783213629113e-4,-0.0015948194794525028,Y,Low,N,Tt/Sp,Sp,44.4,1.2,36.8,-5.11563418767971,Other,24.2980782297012,0.0033,0.0015,NA,0.02194,6.399317406143344,THETE/SUIPU,1,FC06,Tt,81.58513052264782,41.67389095047991,3.3576783213629113,-15.948194794525028,4.4016470213780945,3.729874816416647
6087,b,NA,0.0020892383716284435,0.0026940002355033688,Tt,NA,-2.2989744924395428e-4,-6.933828222026595e-4,Y,High,N,Tt/Tt,Tt,45.4,2.7,16.6,-3.013109504200853,Self,"NA",0.0075,0.0235,NA,0.0538,30.40103492884864,THETE/THETE,1,FC09,Tt,20.892383716284435,26.940002355033688,-2.2989744924395428,-6.9338282220265945,3.0393846770665225,3.2936122583999454
6088,a,NA,0.004519236658719228,0.0054758095693441255,Tt,NA,1.5329586253060024e-4,-5.875471996402148e-4,Y,Low,N,Tt/Tt,Tt,42.7,0.9,46.3,-7.691699767246933,Self,29.4804868449539,NA,0.01057,NA,0.01399,43.037459283387626,THETE/THETE,1,FC01,Tt,45.19236658719228,54.758095693441255,1.5329586253060024,-5.8754719964021485,3.810928191761885,4.002925224312302
6090,a,0.017052173391278735,0.010445292932755423,0.033494086828425695,Tt,0.003977768537451187,-7.444759618465691e-4,-0.0011641715920852058,Y,High,N,Tt/None,Tt,47,1.8,26.5,-8.97229669901697,None,"NA",NA,0.03334,NA,0.04592,42.064092858945244,THETE/NM,1,FC12,None,104.45292932755423,334.94086828425696,-7.444759618465691,-11.641715920852057,4.648736532870723,5.813954003660579
6093,b,0.039526546279702535,0.01876695981122012,0.017447898612021007,Tt,0.013347945212868972,0.003229683909854675,-2.7369115827413637e-4,Y,High,N,Tt/Tt,Tt,45.8,2.7,16.7,-68.56984321145892,Self,5.81077292237697,NA,0.05466,NA,0.05412,50.24820739106454,THETE/THETE,1,FC15,Tt,187.6695981122012,174.47898612021007,32.29683909854675,-2.7369115827413637,5.234682959840885,5.161804311011119
6094,a,NA,0.010731132983286873,0.018349260904860998,Tt,NA,2.9214541416577866e-5,-0.0014342384760079874,Y,High,N,Tt/Tt,Tt,41.2,2,20.2,-7.482112049563444,Self,367.321630357595,NA,0.02518,NA,0.05662,30.782396088019564,THETE/THETE,1,FC12,Tt,107.31132983286872,183.49260904860998,0.29214541416577866,-14.342384760079874,4.675734234303484,5.212174389019207
6097,a,0.005398844617262588,0.03361496300521116,0.03364792918395754,Tt,9.707650762094122e-4,0.0014159882017047432,-1.8245430790692074e-4,Y,High,N,Tt/Tt,Tt,37.8,1.5,24.5,-184.23770526898093,Self,23.7395784546377,8.1e-4,0.02779,NA,0.03915,41.514789363609204,THETE/THETE,1,FC05,Tt,336.1496300521116,336.47929183957535,14.159882017047432,-1.8245430790692074,5.817556388370372,5.818536607338454
6099,b,0.02849394968384411,0.02185562379867756,0.02239419669859566,Tt,0.0035946046438556922,0.0029778870447290107,-4.63464342289277e-4,Y,High,N,Tt/Tt,Tt,40.9,1.8,22.2,-47.15707726450312,Self,7.33930584686312,NA,0.0144,NA,0.04307999999999999,25.05219206680585,THETE/THETE,1,FC16,Tt,218.55623798677559,223.94196698595658,29.778870447290107,-4.63464342289277,5.387043363509063,5.411386942333516
